ID,SequenceID,gID,cID,Notes,Type,Attributes,UniqueCheck,RequiredInSecondMajor,ResearchTrainingCheck
1638065,67930,447726,186,,Unit,NULL,0,0,0
1638066,67930,447726,187,,Unit,NULL,0,0,0
1638067,67930,447726,536,,Unit,NULL,0,0,0
1638068,67930,447726,397,,Unit,NULL,0,0,0
1638069,67930,447727,215,,Unit,NULL,0,0,0
1638070,67930,447728,217,,Unit,NULL,0,0,0
1638071,67930,447728,5467,,Unit,NULL,0,0,0
1638072,67930,447728,1540,,Unit,NULL,0,0,0
1638073,67930,447728,495,,Unit,NULL,0,0,0
1638074,67930,447728,8369,,Unit,NULL,0,0,0
1638075,67930,447729,192,,Unit,NULL,0,0,0
1638076,67930,447729,206,,Unit,NULL,0,0,0
1638077,67930,447729,207,,Unit,NULL,0,0,0
1638078,67930,447729,7746,,Unit,NULL,0,0,0
1638079,67930,447730,328,,Unit,NULL,0,0,0
1638080,67930,447730,326,,Unit,NULL,0,0,0
1638081,67930,447730,212,,Unit,NULL,0,0,0
1638082,67930,447731,7325,,Unit,NULL,0,0,0
1638083,67930,447731,7727,,Unit,NULL,0,0,0
1638084,67930,447731,5477,,Unit,NULL,0,0,0
1638085,67930,447731,231,,Unit,NULL,0,0,0
1638086,67930,447731,232,,Unit,NULL,0,0,0
1638087,67930,447731,208,,Unit,NULL,0,0,0
1638088,67930,447731,209,,Unit,NULL,0,0,0
1638089,67930,447731,241,,Unit,NULL,0,0,0
1638090,67930,447731,59,,Unit,NULL,0,0,0
1638091,67930,447731,224,,Unit,NULL,0,0,0
1851751,75892,509902,186,,Unit,NULL,0,0,0
1851752,75892,509902,187,,Unit,NULL,0,0,0
1851753,75892,509902,536,,Unit,NULL,0,0,0
1851754,75892,509902,397,,Unit,NULL,0,0,0
1851755,75892,509903,215,,Unit,NULL,0,0,0
1851756,75892,509904,192,,Unit,NULL,0,0,0
1851757,75892,509904,206,,Unit,NULL,0,0,0
1851758,75892,509904,207,,Unit,NULL,0,0,0
1851759,75892,509904,7746,,Unit,NULL,0,0,0
1851760,75892,509904,497,,Unit,NULL,0,0,0
1851761,75892,509905,232,,Unit,NULL,0,0,0
1851762,75892,509905,209,,Unit,NULL,0,0,0
1851763,75892,509905,212,,Unit,NULL,0,0,0
1851764,75892,509905,525,,Unit,NULL,0,0,0
1851765,75892,509906,526,,Unit,NULL,0,0,0
1851766,75892,509906,231,,Unit,NULL,0,0,0
1851767,75892,509906,59,,Unit,NULL,0,0,0
1851768,75892,509906,7325,,Unit,NULL,0,0,0
1851769,75892,509906,326,,Unit,NULL,0,0,0
1851770,75892,509906,328,,Unit,NULL,0,0,0
1851771,75892,509906,506,,Unit,NULL,0,0,0
1851772,75892,509906,521,,Unit,NULL,0,0,0
